Sample	Subspecies	Genotype	IRGC_ID	GTAbbr	Time	Treatment	Treatment2	Treatment3	Tissue
SRX1423934	Japonica	Azuenca	328	AZ	15	Control	Control	Control	leaf
SRX1423935	Japonica	Azuenca	328	AZ	15	Control	Control	Control	leaf
SRX1423936	Japonica	Azuenca	328	AZ	30	Control	Control	Control	leaf
SRX1423937	Japonica	Azuenca	328	AZ	30	Control	Control	Control	leaf
SRX1423938	Japonica	Azuenca	328	AZ	45	Control	Control	Control	leaf
SRX1423939	Japonica	Azuenca	328	AZ	45	Control	Control	Control	leaf
SRX1423940	Japonica	Azuenca	328	AZ	60	Control	Control	Control	leaf
SRX1423941	Japonica	Azuenca	328	AZ	60	Control	Control	Control	leaf
SRX1423942	Japonica	Azuenca	328	AZ	75	Control	Control	Control	leaf
SRX1423943	Japonica	Azuenca	328	AZ	75	Control	Control	Control	leaf
SRX1423944	Japonica	Azuenca	328	AZ	90	Control	Control	Control	leaf
SRX1423945	Japonica	Azuenca	328	AZ	90	Control	Control	Control	leaf
SRX1423946	Japonica	Azuenca	328	AZ	105	Control	Control	Control	leaf
SRX1423947	Japonica	Azuenca	328	AZ	105	Control	Control	Control	leaf
SRX1423948	Japonica	Azuenca	328	AZ	120	Control	Control	Control	leaf
SRX1423949	Japonica	Azuenca	328	AZ	120	Control	Control	Control	leaf
SRX1423950	Japonica	Azuenca	328	AZ	135	Control	Control	Control	leaf
SRX1423951	Japonica	Azuenca	328	AZ	135	Control	Control	Control	leaf
SRX1423952	Japonica	Azuenca	328	AZ	150	Control	Control	Control	leaf
SRX1423953	Japonica	Azuenca	328	AZ	165	Control	Control	Control	leaf
SRX1423954	Japonica	Azuenca	328	AZ	165	Control	Control	Control	leaf
SRX1423955	Japonica	Azuenca	328	AZ	180	Control	Control	Control	leaf
SRX1423956	Japonica	Azuenca	328	AZ	180	Control	Control	Control	leaf
SRX1423957	Japonica	Azuenca	328	AZ	195	Control	Control	Control	leaf
SRX1423958	Japonica	Azuenca	328	AZ	195	Control	Control	Control	leaf
SRX1423959	Japonica	Azuenca	328	AZ	210	Control	Control	Control	leaf
SRX1423960	Japonica	Azuenca	328	AZ	210	Control	Control	Control	leaf
SRX1423961	Japonica	Azuenca	328	AZ	225	Control	Control	Control	leaf
SRX1423962	Japonica	Azuenca	328	AZ	225	Control	Control	Control	leaf
SRX1423963	Japonica	Azuenca	328	AZ	225	Control	Control	Control	leaf
SRX1423964	Japonica	Azuenca	328	AZ	240	Control	Control	Control	leaf
SRX1423965	Japonica	Azuenca	328	AZ	270	Control	Control	Control	leaf
SRX1423966	Japonica	Azuenca	328	AZ	270	Control	Control	Control	leaf
SRX1423967	Japonica	Azuenca	328	AZ	300	Control	Control	Control	leaf
SRX1423968	Japonica	Azuenca	328	AZ	300	Control	Control	Control	leaf
SRX1423969	Japonica	Azuenca	328	AZ	15	Heat	Heat	Heat	leaf
SRX1423970	Japonica	Azuenca	328	AZ	15	Heat	Heat	Heat	leaf
SRX1423971	Japonica	Azuenca	328	AZ	30	Heat	Heat	Heat	leaf
SRX1423972	Japonica	Azuenca	328	AZ	30	Heat	Heat	Heat	leaf
SRX1423973	Japonica	Azuenca	328	AZ	45	Heat	Heat	Heat	leaf
SRX1423974	Japonica	Azuenca	328	AZ	45	Heat	Heat	Heat	leaf
SRX1423975	Japonica	Azuenca	328	AZ	60	Heat	Heat	Heat	leaf
SRX1423976	Japonica	Azuenca	328	AZ	60	Heat	Heat	Heat	leaf
SRX1423977	Japonica	Azuenca	328	AZ	75	Heat	Heat	Heat	leaf
SRX1423978	Japonica	Azuenca	328	AZ	75	Heat	Heat	Heat	leaf
SRX1423979	Japonica	Azuenca	328	AZ	90	Heat	Heat	Heat	leaf
SRX1423980	Japonica	Azuenca	328	AZ	90	Heat	Heat	Heat	leaf
SRX1423981	Japonica	Azuenca	328	AZ	105	Heat	Heat	Heat	leaf
SRX1423982	Japonica	Azuenca	328	AZ	105	Heat	Heat	Heat	leaf
SRX1423983	Japonica	Azuenca	328	AZ	120	Heat	Heat	Heat	leaf
SRX1423984	Japonica	Azuenca	328	AZ	120	Heat	Heat	Heat	leaf
SRX1423985	Japonica	Azuenca	328	AZ	135	Heat	Heat	Heat	leaf
SRX1423986	Japonica	Azuenca	328	AZ	135	Heat	Heat	Heat	leaf
SRX1423987	Japonica	Azuenca	328	AZ	150	Heat	Heat	Heat	leaf
SRX1423988	Japonica	Azuenca	328	AZ	150	Heat	Heat	Heat	leaf
SRX1423989	Japonica	Azuenca	328	AZ	165	Heat	Heat	Heat	leaf
SRX1423990	Japonica	Azuenca	328	AZ	165	Heat	Heat	Heat	leaf
SRX1423991	Japonica	Azuenca	328	AZ	180	Heat	Heat	Heat	leaf
SRX1423992	Japonica	Azuenca	328	AZ	180	Heat	Heat	Heat	leaf
SRX1423993	Japonica	Azuenca	328	AZ	195	Heat	Heat	Heat	leaf
SRX1423994	Japonica	Azuenca	328	AZ	195	Heat	Heat	Heat	leaf
SRX1423995	Japonica	Azuenca	328	AZ	210	Heat	Heat	Heat	leaf
SRX1423996	Japonica	Azuenca	328	AZ	210	Heat	Heat	Heat	leaf
SRX1423997	Japonica	Azuenca	328	AZ	225	Heat	Heat	Heat	leaf
SRX1423998	Japonica	Azuenca	328	AZ	225	Heat	Heat	Heat	leaf
SRX1423999	Japonica	Azuenca	328	AZ	240	Heat	Heat	Heat	leaf
SRX1424000	Japonica	Azuenca	328	AZ	240	Heat	Heat	Heat	leaf
SRX1424001	Japonica	Azuenca	328	AZ	135	Heat Recovery	Heat	Heat	leaf
SRX1424002	Japonica	Azuenca	328	AZ	135	Heat Recovery	Heat	Heat	leaf
SRX1424003	Japonica	Azuenca	328	AZ	150	Heat Recovery	Heat	Heat	leaf
SRX1424004	Japonica	Azuenca	328	AZ	150	Heat Recovery	Heat	Heat	leaf
SRX1424005	Japonica	Azuenca	328	AZ	165	Heat Recovery	Heat	Heat	leaf
SRX1424006	Japonica	Azuenca	328	AZ	165	Heat Recovery	Heat	Heat	leaf
SRX1424007	Japonica	Azuenca	328	AZ	180	Heat Recovery	Heat	Heat	leaf
SRX1424008	Japonica	Azuenca	328	AZ	180	Heat Recovery	Heat	Heat	leaf
SRX1424009	Japonica	Azuenca	328	AZ	195	Heat Recovery	Heat	Heat	leaf
SRX1424010	Japonica	Azuenca	328	AZ	195	Heat Recovery	Heat	Heat	leaf
SRX1424011	Japonica	Azuenca	328	AZ	210	Heat Recovery	Heat	Heat	leaf
SRX1424012	Japonica	Azuenca	328	AZ	210	Heat Recovery	Heat	Heat	leaf
SRX1424013	Japonica	Azuenca	328	AZ	225	Heat Recovery	Heat	Heat	leaf
SRX1424014	Japonica	Azuenca	328	AZ	225	Heat Recovery	Heat	Heat	leaf
SRX1424015	Japonica	Azuenca	328	AZ	240	Heat Recovery	Heat	Heat	leaf
SRX1424016	Japonica	Azuenca	328	AZ	240	Heat Recovery	Heat	Heat	leaf
SRX1424017	Japonica	Azuenca	328	AZ	15	Drought	Drought	Drought-AZ	leaf
SRX1424018	Japonica	Azuenca	328	AZ	15	Drought	Drought	Drought-AZ	leaf
SRX1424019	Japonica	Azuenca	328	AZ	30	Drought	Drought	Drought-AZ	leaf
SRX1424020	Japonica	Azuenca	328	AZ	30	Drought	Drought	Drought-AZ	leaf
SRX1424021	Japonica	Azuenca	328	AZ	45	Drought	Drought	Drought-AZ	leaf
SRX1424022	Japonica	Azuenca	328	AZ	45	Drought	Drought	Drought-AZ	leaf
SRX1424023	Japonica	Azuenca	328	AZ	60	Drought	Drought	Drought-AZ	leaf
SRX1424024	Japonica	Azuenca	328	AZ	60	Drought	Drought	Drought-AZ	leaf
SRX1424025	Japonica	Azuenca	328	AZ	75	Drought	Drought	Drought-AZ	leaf
SRX1424026	Japonica	Azuenca	328	AZ	75	Drought	Drought	Drought-AZ	leaf
SRX1424027	Japonica	Azuenca	328	AZ	90	Drought	Drought	Drought-AZ	leaf
SRX1424028	Japonica	Azuenca	328	AZ	90	Drought	Drought	Drought-AZ	leaf
SRX1424029	Japonica	Azuenca	328	AZ	105	Drought	Drought	Drought-AZ	leaf
SRX1424030	Japonica	Azuenca	328	AZ	105	Drought	Drought	Drought-AZ	leaf
SRX1424031	Japonica	Azuenca	328	AZ	120	Drought	Drought	Drought-AZ	leaf
SRX1424032	Japonica	Azuenca	328	AZ	120	Drought	Drought	Drought-AZ	leaf
SRX1424033	Japonica	Azuenca	328	AZ	135	Drought	Drought	Drought-AZ	leaf
SRX1424034	Japonica	Azuenca	328	AZ	135	Drought	Drought	Drought-AZ	leaf
SRX1424035	Japonica	Azuenca	328	AZ	105	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424036	Japonica	Azuenca	328	AZ	105	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424037	Japonica	Azuenca	328	AZ	120	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424038	Japonica	Azuenca	328	AZ	120	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424039	Japonica	Azuenca	328	AZ	150	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424040	Japonica	Azuenca	328	AZ	150	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424041	Japonica	Azuenca	328	AZ	165	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424042	Japonica	Azuenca	328	AZ	165	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424043	Japonica	Azuenca	328	AZ	180	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424044	Japonica	Azuenca	328	AZ	180	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424045	Japonica	Azuenca	328	AZ	210	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424046	Japonica	Azuenca	328	AZ	210	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424047	Japonica	Azuenca	328	AZ	240	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424048	Japonica	Azuenca	328	AZ	240	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424049	Japonica	Azuenca	328	AZ	270	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424050	Japonica	Azuenca	328	AZ	270	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424051	Japonica	Azuenca	328	AZ	300	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424052	Japonica	Azuenca	328	AZ	300	Drought Recovery	Drought	Drought-AZ	leaf
SRX1424053	Indica	Kinandang puti	44513	KP	15	Control	Control	Control	leaf
SRX1424054	Indica	Kinandang puti	44513	KP	15	Control	Control	Control	leaf
SRX1424055	Indica	Kinandang puti	44513	KP	30	Control	Control	Control	leaf
